CODICE ARTICOLO   ;DESCRIZIONE ARTICOLO   ;PREZZO          
     0543540   ;PFANNER ANGURIA LT.1                                                    ;1,80                   
     0356536   ;PFANNER FRAGOLA 35% LT1                                                 ;1,80                   
     0364882   ;PFANNER LAMPONE LT.1                                                    ;1,80                   
     0487351   ;PFANNER MANGO/MARACUJA LT.1                                             ;1,80                   
     0487341   ;PFANNER MARACUJA LT.1                                                   ;1,80                   
     0285073   ;PFANNER MIRTILLO NERO LT.1                                              ;1,80                   
     0270354   ;PFANNER MULTIVITAMIN.LT.1                                               ;1,72                   
     0516815   ;PFANNER NETTARE DI GUAVA LT.1                                           ;1,80                   
     0270364   ;PFANNER SUCCO MELA 100% 1L                                              ;1,72                   
     0134900   ;YOGA NETTARE  ALBICOCCA PET LT.1                                        ;1,56                   
     0280783   ;YOGA NETTARE MELA BANANA LT.1                                           ;1,56                   
     0134898   ;YOGA NETTARE PERA PET LT1                                               ;1,56                   
     0362705   ;YOGA NETTARE PESCA PET VINTAGE LT1                                      ;1,55                   
     0346107   ;ZUEGG NETTARE ALBICOCCA 200X3                                           ;1,19                   
     0346106   ;ZUEGG NETTARE PERA 200X3                                                ;1,19                   
     0346105   ;ZUEGG NETTARE PESCA 200X3                                               ;1,19                   
     0495555   ;PEPSI COLA MAX ZERO PET LT.1,5 X2                                       ;2,45                   
     0495554   ;PEPSI COLA REGULAR PET LT.1,5 X2                                        ;2,45                   
     0096312   ;S.BENEDETTO BEV.TE'LIMONE T1,5                                          ;0,97                   
     0037492   ;S.BENEDETTO BEV.TE'PESCA T1,5                                           ;0,97                   
     0469278   ;BECK'S BIRRA BOTT. CL 33X5+1                                            ;5,23                   
     0097827   ;MORETTI BIRRA CL.66                                                     ;1,34                   
     0121173   ;FORST KRONEN LATT.BIRRA CL33X3                                          ;1.99
     0039313   ;TAVERNELLO VINO BIANCO BRIK LT.1                                        ;1.59
     0154138   ;TAVERNELLO VINO ROSATO BRIK LT.1                                        ;1.59
     0039377   ;TAVERNELLO VINO ROSSO BRIK LT.1                                         ;1.59
     0239875   ;B/VALLI CHARDONNAY TN  T75                                              ;4,75                   
     0212030   ;B/VALLI MARZEMINO  T750                                                 ;4,75                   
     0212029   ;B/VALLI MULLER THURGAU  750                                             ;4,76                   
     0239876   ;B/VALLI SCHIAVA  T750                                                   ;3,51                   
     0212028   ;B/VALLI TEROLDEGO T750                                                  ;4,08                   
     0162327   ;CONCILIO MORIVECIO 750                                                  ;7,40                   
     0534209   ;MEZZACORONA DELISA P/GRIGIO ROSE'  CL.75                                ;5,67                   
     0039743   ;MEZZACORONA MULLER THURG.T750                                           ;4,61                   
     0534212   ;MEZZACORONA NOVE P/GRIGIO ROSE' CL.75                                   ;5,57                   
     0039555   ;MEZZACORONA TEROLDEGO T750                                              ;3.99
     0397561   ;ALMORANO BARDOLINO CL.75                                                ;3,26                   
     0398732   ;ALMORANO CUSTOZA CL.75                                                  ;3,14                   
     0398389   ;ALMORANO SOAVE CL.75                                                    ;2,95                   
     0398388   ;ALMORANO VALPOLICELLA CL.75                                             ;4,68                   
     0073738   ;CECCHI CHIANTI T750                                                     ;4,53                   
     0374210   ;FORTENERO LAMBRUSCO DOLCE CL75                                          ;3,20                   
     0531310   ;FORTENERO LAMBRUSCO GRASPAROSSA CL.75                                   ;3,44                   
     0374287   ;FORTENERO LAMBRUSCO SECCO CL75                                          ;3,20                   
     0417130   ;PASQUA LUGANA V.B. CL 75                                                ;7,67                   
     0346951   ;SARTORI VALPOLICELLA RIPASSO                                            ;7,92                   
